year,capacity_kW,Cost_dollars,Cost_dollars_with_incentive,cost_per_kW_NI,cost_per_kW_Incentive
2003,750,8495198.39907728,4555752.03229527,11241.4372364475,5988.84208073818
2004,2250,19277909.6251852,12943342.908642,10506.3527392593,7684.95395720164
2005,3700,24111007.8,15429257.8,6863.88285,4362.75785
2006,5100,40105381.7257384,19809337.4219409,8493.39630600764,4726.60908479004
2007,1200,8654134.12127441,5533887.4614594,7272.5085463058,4672.30299645997
2008,630,6104594.1532258,3273646.57258065,9930.67506720431,7040.21807795699
2009,9955,94111929.736,59338901.336,10208.4523466337,6961.29576641392
2010,49985,485245095,289810095,10443.9428082172,6898.22933820793
2011,15322.5,185873151.438529,145163565.57212,11926.4924393516,9260.71285699781
2012,17761,198527654.148289,152186230.954373,11235.9120423802,8639.86281964932
2013,21753.75,254524329.979381,204167271.628866,12113.317622507,9683.27845241684
2014,31447.5,321184461.586716,261447978.081181,10703.06834282,8670.24604307215
